Description,Description_numeric,LengthofDetectionkm,NumberofLanes,Date,Year,Month,Day,Hour,Minutes,DayofWeek,DayofWeek_numeric,TimeofDay,TimeofDay_numeric,DetectedDevices,StayTime,Speedkmh,TotalTravelTimeseconds,TravelTimehour,TravelTimeminutes,TravelTimeseconds,DerivedFFStraveltime,DerivedLostTime,DerivedGainedTime,Temperature,Weather,Weather_numeric,LevelofService,LOS_numeric
Southbound,2,3.547254,4,12/25/2019 19:00:00,2019,12,25,19,0,4,4,Evening,6,1320,0,87.05,147.02,0,2,27,127.7,19.32,0,31,clear sky,1,F,6
Southbound,2,3.54709875,4,12/25/2019 20:00:00,2019,12,25,20,0,4,4,Evening,6,901,0.59,78.59,162.81,0,2,42,127.7,35.11,0,29,clear sky,1,F,6
Southbound,2,3.548424222,4,12/25/2019 21:00:00,2019,12,25,21,0,4,4,Late Evening,7,1094,0.73,83.87,152.77,0,2,32,127.74,25.03,0,29,clear sky,1,F,6
Southbound,2,3.547102778,4,12/25/2019 22:00:00,2019,12,25,22,0,4,4,Late Evening,7,1292,0,79.72,160.76,0,2,40,127.7,33.06,0,28,clear sky,1,F,6
Southbound,2,3.547895556,4,12/25/2019 23:00:00,2019,12,25,23,0,4,4,Late Evening,7,1051,0,80.65,159.2,0,2,39,127.72,31.48,0,27,clear sky,1,F,6
Southbound,2,3.5477365,4,12/26/2019 0:00:00,2019,12,26,0,0,5,5,Late Night,1,659,0,89.83,142.46,0,2,22,127.72,14.74,0,26,clear sky,1,F,6
Southbound,2,3.548033667,4,12/26/2019 1:00:00,2019,12,26,1,0,5,5,Late Night,1,206,0.49,91.35,140.2,0,2,20,127.73,12.47,0,26,clear sky,1,C,3
Southbound,2,3.547008222,4,12/26/2019 2:00:00,2019,12,26,2,0,5,5,Late Night,1,121,0.75,89.04,143.5,0,2,23,127.69,15.81,0,25,clear sky,1,B,2
Southbound,2,3.547386333,4,12/26/2019 3:00:00,2019,12,26,3,0,5,5,Late Night,1,88,0.73,90.81,140.76,0,2,20,127.71,13.05,0,25,clear sky,1,A,1
Southbound,2,3.548700639,4,12/26/2019 4:00:00,2019,12,26,4,0,5,5,Early Morning,2,171,0.35,95.29,136,0,2,16,127.75,8.25,0,25,haze,17,C,3
Southbound,2,3.593819111,4,12/26/2019 5:00:00,2019,12,26,5,0,5,5,Early Morning,2,239,0,96.79,132.41,0,2,12,129.38,3.03,0,25,mist,16,D,4
Southbound,2,3.558238944,4,12/26/2019 6:00:00,2019,12,26,6,0,5,5,Early Morning,2,459,0.17,85.02,151.07,0,2,31,128.1,22.97,0,24,mist,16,F,6
Southbound,2,3.553154778,4,12/26/2019 7:00:00,2019,12,26,7,0,5,5,Early Morning,2,413,0.54,85.92,148.83,0,2,28,127.91,20.92,0,24,mist,16,F,6
Southbound,2,3.549625417,4,12/26/2019 8:00:00,2019,12,26,8,0,5,5,Early Morning,2,497,0.61,73.43,176.22,0,2,56,127.79,48.43,0,23,mist,16,F,6
Southbound,2,3.547652667,4,12/26/2019 9:00:00,2019,12,26,9,0,5,5,Late Morning,3,581,0.57,83.33,153.75,0,2,33,127.72,26.03,0,23,mist,16,F,6
Southbound,2,3.547409667,4,12/26/2019 10:00:00,2019,12,26,10,0,5,5,Late Morning,3,689,0.52,81.44,157.61,0,2,37,127.71,29.9,0,28,scattered clouds,3,F,6
Southbound,2,3.547917833,4,12/26/2019 11:00:00,2019,12,26,11,0,5,5,Late Morning,3,830,0.59,85.27,150.08,0,2,30,127.73,22.35,0,28,scattered clouds,3,F,6
Southbound,2,3.547378111,4,12/26/2019 12:00:00,2019,12,26,12,0,5,5,Early Afternoon,4,893,0.6,80.92,158,0,2,38,127.71,30.29,0,31,few clouds,2,F,6
Southbound,2,3.550102889,4,12/26/2019 13:00:00,2019,12,26,13,0,5,5,Early Afternoon,4,973,0.57,78.51,163.07,0,2,43,127.8,35.27,0,32,few clouds,2,F,6
Southbound,2,3.547082778,4,12/26/2019 14:00:00,2019,12,26,14,0,5,5,Early Afternoon,4,1694,0.16,69.39,189.96,0,3,9,127.69,62.27,0,33,few clouds,2,F,6
Southbound,2,3.547154861,4,12/26/2019 15:00:00,2019,12,26,15,0,5,5,Late Afternoon,5,2098,0,78.96,162.39,0,2,42,127.7,34.69,0,34,scattered clouds,3,F,6
Southbound,2,3.548279944,4,12/26/2019 16:00:00,2019,12,26,16,0,5,5,Late Afternoon,5,1641,0.24,85.41,149.57,0,2,29,127.74,21.83,0,34,few clouds,2,F,6
Southbound,2,3.547743333,4,12/26/2019 17:00:00,2019,12,26,17,0,5,5,Late Afternoon,5,911,0.47,82.42,155.3,0,2,35,127.72,27.58,0,34,few clouds,2,F,6
Southbound,2,3.547687333,4,12/26/2019 18:00:00,2019,12,26,18,0,5,5,Evening,6,975,0.48,84.39,152.04,0,2,32,127.72,24.32,0,33,few clouds,2,F,6
Southbound,2,3.5472325,4,12/26/2019 19:00:00,2019,12,26,19,0,5,5,Evening,6,1034,0.75,82.49,155.27,0,2,35,127.7,27.57,0,31,few clouds,2,F,6
Southbound,2,3.547255417,4,12/26/2019 20:00:00,2019,12,26,20,0,5,5,Evening,6,968,0.69,77.8,165.09,0,2,45,127.7,37.39,0,30,few clouds,2,F,6
Southbound,2,3.547674444,4,12/26/2019 21:00:00,2019,12,26,21,0,5,5,Late Evening,7,1038,0.7,81.76,156.3,0,2,36,127.72,28.58,0,28,scattered clouds,3,F,6
Southbound,2,3.547513778,4,12/26/2019 22:00:00,2019,12,26,22,0,5,5,Late Evening,7,1497,0,88.3,144.9,0,2,24,127.71,17.19,0,28,scattered clouds,3,F,6
Southbound,2,3.547776944,4,12/26/2019 23:00:00,2019,12,26,23,0,5,5,Late Evening,7,1187,0,89.13,143.5,0,2,23,127.72,15.78,0,27,scattered clouds,3,F,6
Southbound,2,3.547309278,4,12/27/2019 0:00:00,2019,12,27,0,0,6,6,Late Night,1,900,0.14,87.35,146.32,0,2,26,127.7,18.62,0,27,few clouds,2,F,6
Southbound,2,3.550057778,4,12/27/2019 1:00:00,2019,12,27,1,0,6,6,Late Night,1,264,0.71,92.9,137.55,0,2,17,127.8,9.75,0,26,few clouds,2,D,4
Southbound,2,3.549343389,4,12/27/2019 2:00:00,2019,12,27,2,0,6,6,Late Night,1,153,1.08,99.29,128.68,0,2,8,127.78,0.9,0,25,scattered clouds,3,B,2
Southbound,2,3.548384444,4,12/27/2019 3:00:00,2019,12,27,3,0,6,6,Late Night,1,82,1,91.19,140.26,0,2,20,127.74,12.52,0,25,clear sky,1,A,1
Southbound,2,3.549946167,4,12/27/2019 4:00:00,2019,12,27,4,0,6,6,Early Morning,2,119,0.73,99.61,128.62,0,2,8,127.8,0.82,0,25,clear sky,1,B,2
Southbound,2,3.577349444,4,12/27/2019 5:00:00,2019,12,27,5,0,6,6,Early Morning,2,234,0.49,91.83,139.69,0,2,19,128.78,10.91,0,24,haze,17,D,4
Southbound,2,3.549736667,4,12/27/2019 6:00:00,2019,12,27,6,0,6,6,Early Morning,2,647,0.76,81.36,157.64,0,2,37,127.79,29.85,0,24,haze,17,F,6
Southbound,2,3.547368611,4,12/27/2019 7:00:00,2019,12,27,7,0,6,6,Early Morning,2,895,0.57,73.54,174.11,0,2,54,127.71,46.4,0,23,haze,17,F,6
Southbound,2,3.547488389,4,12/27/2019 8:00:00,2019,12,27,8,0,6,6,Early Morning,2,945,0.67,83.11,153.86,0,2,33,127.71,26.15,0,24,haze,17,F,6
Southbound,2,3.547053889,4,12/27/2019 9:00:00,2019,12,27,9,0,6,6,Late Morning,3,989,0.59,78.74,162.67,0,2,42,127.69,34.98,0,24,mist,16,F,6
Southbound,2,3.547509,4,12/27/2019 10:00:00,2019,12,27,10,0,6,6,Late Morning,3,1308,0.47,77.45,165.11,0,2,45,127.71,37.4,0,26,haze,17,F,6
Southbound,2,3.547102,4,12/27/2019 11:00:00,2019,12,27,11,0,6,6,Late Morning,3,2048,0,78.47,163.06,0,2,43,127.7,35.36,0,28,haze,17,F,6
Southbound,2,3.5485065,4,12/27/2019 12:00:00,2019,12,27,12,0,6,6,Early Afternoon,4,2209,0,77.56,164.81,0,2,44,127.75,37.06,0,30,haze,17,F,6
Southbound,2,3.548736,4,12/27/2019 13:00:00,2019,12,27,13,0,6,6,Early Afternoon,4,1400,0.69,69.73,194.93,0,3,14,127.75,67.18,0,32,scattered clouds,3,F,6
Southbound,2,3.546989167,4,12/27/2019 14:00:00,2019,12,27,14,0,6,6,Early Afternoon,4,1269,0.74,69.67,192.84,0,3,12,127.69,65.15,0,33,scattered clouds,3,F,6
Southbound,2,3.54709425,4,12/27/2019 15:00:00,2019,12,27,15,0,6,6,Late Afternoon,5,1141,0.58,79.11,162.55,0,2,42,127.7,34.85,0,34,few clouds,2,F,6
Southbound,2,3.54730125,4,12/27/2019 16:00:00,2019,12,27,16,0,6,6,Late Afternoon,5,1207,0.66,81.92,156.76,0,2,36,127.7,29.06,0,35,few clouds,2,F,6
